donation_id,entity_id,fundraiser_id,amount,donation_date,donation_type,occupant_full_name,donor_type,earmarked_fund,center,notes
FAM0004-20200128-0001,FAM0004,Training and Staff Development; CAAEYC 2020,100.00,2020-01-28,Direct Donation,Harper Taylor 1495,Personal,Unrestricted,LCV,
FAM0004-20200228-0001,FAM0004,Training and Staff Development; CAAEYC 2020,20.00,2020-02-28,Direct Donation,Aubrey Parker 593,Personal,Unrestricted,LCV,
FAM0016-20200215-0001,FAM0016,Training and Staff Development; CAAEYC 2020,100.00,2020-02-15,Direct Donation,Jordan Campbell 41,Personal,Unrestricted,JP,
FAM0020-20111221-0001,FAM0020,Letter Campaign 2011,50.00,2011-12-21,Direct Donation,Corey Perez 307,Personal,Unrestricted,Corporate,
FAM0020-20161231-0001,FAM0020,Pat Griffith Scholarship Fund Creation,500.00,2016-12-31,Direct Donation,Jamie Taylor 846,Personal,PGSF,Corporate,
FAM0020-20171228-0001,FAM0020,PGSF Letter Campaign 2017,500.00,2017-12-28,Direct Donation,Jamie Taylor 846,Personal,PGSF,Corporate,
FAM0020-20190125-0001,FAM0020,In Pat's Memory,500.00,2019-01-25,Direct Donation,Corey Perez 307,Personal,PGSF,Corporate,
FAM0020-20191231-0001,FAM0020,In Pat's Memory,500.00,2019-12-31,Direct Donation,Jamie Taylor 846,Personal,PGSF,Corporate,
FAM0020-20211231-0001,FAM0020,Unprompted,500.00,2021-12-31,Direct Donation,Corey Perez 307,Personal,Unrestricted,Corporate,
FAM0020-20230201-0001,FAM0020,Unprompted,500.00,2023-02-01,Direct Donation,Corey Perez 307,Personal,Unrestricted,Corporate,
FAM0020-20240513-0001,FAM0020,Blake's Mailer,520.00,2024-05-13,Direct Donation,Corey Perez 307,Personal,Unrestricted,Corporate,
FAM0020-20241231-0001,FAM0020,Appeal Letter 2025,477.56,2024-12-31,Direct Donation,Jamie Taylor 846,Personal,Unrestricted,Corporate,
FAM0022-20150506-0001,FAM0022,Music Class Fundraiser,100.00,2015-05-06,Direct Donation,Skylar Johnson 849,Personal,Unrestricted,LCV,
FAM0043-20051216-0001,FAM0043,Unprompted,2500.00,2005-12-16,Direct Donation,Milan Torres 1157,Personal,Unrestricted,,
FAM0043-20061213-0001,FAM0043,Letter Campaign 2006,2500.00,2006-12-13,Direct Donation,Milan Torres 1157,Personal,Unrestricted,Corporate,
FAM0043-20070118-0001,FAM0043,Letter Campaign 2006,1000.00,2007-01-18,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,Corporate,
FAM0043-20080103-0001,FAM0043,Letter Campaign 2007,2500.00,2008-01-03,Direct Donation,Milan Torres 1157,Personal,Unrestricted,Corporate,
