entity_id,occupant_full_name,occupant_first_name,occupant_surname,occupant_email,occupant_email2,phone,child(ren)_enrolled,photo_release,connection,center,status
FAM0277,Alex Adams 760,Alex,Adams,donor760@example.com,,555-000-760,ChildA-1760,,Former Parent,La Casita,Living
FAM0971,Alex Anderson 960,Alex,Anderson,donor960@example.com,,555-000-960,ChildA-1044,,Former Parent,JP,Living
IND0246,Alex Brown 880,Alex,Brown,donor880@example.com,,555-000-880,,N/A,Former Parent,JP,Living
FAM0445,Alex Cook 1160,Alex,Cook,donor1160@example.com,,555-000-1160,ChildA-2022,,Former Parent,La Casita,Living
FAM0743,Alex Cook 480,Alex,Cook,donor480@example.com,,555-000-480,ChildA-1480,,Former Parent,La Casita,Living
UNK1169,Alex Cook 560,Alex,Cook,donor560@example.com,,,,N/A,Community,Community,Living
FAM0267,Alex Edwards 920,Alex,Edwards,donor920@example.com,,555-000-920,ChildA-1199,,Former Parent,La Casita,Living
IND1290,Alex Flores 1120,Alex,Flores,donor1120@example.com,,,,N/A,Community,Community,Living
FAM0333,Alex Hall 1040,Alex,Hall,donor1040@example.com,,555-000-1040,ChildA-1523,,Parent,TD,Living
FAM0530,Alex Lewis 160,Alex,Lewis,donor160@example.com,,555-000-160,ChildA-1160,,Former Parent,La Casita,Living
IND1302,Alex Lewis 240,Alex,Lewis,donor240@example.com,,,,N/A,Community,Community,Living
FAM0515,Alex Lewis 360,Alex,Lewis,donor360@example.com,,,ChildA-1360,,Former Parent,JP,Living
FAM0856,Alex Lewis 400,Alex,Lewis,donor400@example.com,,,,N/A,Former Parent,JP,Living
IND0164,Alex Lopez 1400,Alex,Lopez,donor1400@example.com,,555-000-1400,ChildA-2400,,Former Parent,La Casita,Living
FAM0721,Alex Lopez 440,Alex,Lopez,donor440@example.com,,555-000-440,ChildA-1440,,Former Parent,La Casita,Living
FAM0690,Alex Morris 1200,Alex,Morris,donor1200@example.com,,555-000-1200,ChildA-1927,,Former Parent,La Casita,Living
IND1280,Alex Murphy 1080,Alex,Murphy,donor1080@example.com,,,,N/A,Community,Community,Living
FAM0883,Alex Murphy 1360,Alex,Murphy,donor1360@example.com,,555-000-1360,ChildA-2021,,Former Parent,La Casita,Living
FAM0053,Alex Murphy 840,Alex,Murphy,donor840@example.com,,555-000-840,ChildA-1840,,Former Parent,JP,Living
IND1178,Alex Parker 600,Alex,Parker,donor600@example.com,,,,N/A,Community,Community,Living
IND1337,Alex Perez 1280,Alex,Perez,donor1280@example.com,,,,N/A,Community,Community,Living
IND1454,Alex Perez 1454,Alex,Perez,,,,,N/A,Community,Community,Living
IND0317,Alex Perez 640,Alex,Perez,donor640@example.com,,,ChildA-1640,,Former Parent,JP,Living
FAM0509,Alex Rivera 200,Alex,Rivera,donor200@example.com,,555-000-200,ChildA-1200,,Former Parent,La Casita,Living
IND1327,Alex Roberts 1240,Alex,Roberts,donor1240@example.com,,,,N/A,Community,Community,Living
FAM1409,Alex Roberts 1409,Alex,Roberts,,,,,N/A,Community,Community,Living
FAM0280,Alex Rogers 280,Alex,Rogers,donor280@example.com,,,ChildA-1064,,Former Parent,La Casita,Living
IND1051,Alex Rogers 40,Alex,Rogers,donor40@example.com,,,,N/A,Community,Community,Living
FAM0175,Alex Rogers 520,Alex,Rogers,donor520@example.com,,555-000-520,ChildA-1520,,Parent,TD,Living
IND0583,Alex Scott 1440,Alex,Scott,donor1440@example.com,,,,N/A,Community,Community,Living
IND0682,Alex Smith 320,Alex,Smith,donor320@example.com,,555-000-320,ChildA-1320,,Former Parent,La Casita,Living
IND1046,Alex Smith 80,Alex,Smith,donor80@example.com,,,,N/A,Community,Community,Living
FAM0131,Alex Stewart 1320,Alex,Stewart,donor1320@example.com,,,ChildA-1912,,Former Parent,La Casita,Living
IND0615,Alex Stewart 1480,Alex,Stewart,donor1480@example.com,,555-000-1480,ChildA-2480,,Former Parent,La Casita,Living
IND1194,Alex Thomas 680,Alex,Thomas,donor680@example.com,,,,N/A,Community,Community,Living
FAM0562,Alex Thompson 720,Alex,Thompson,donor720@example.com,,555-000-720,,N/A,Former Parent,JP,Living
FAM1471,Alex Torres 1471,Alex,Torres,,,,,N/A,Community,Community,Living
UNK1507,Amazon Smile Foundation,,,,,,,,Corporate Donor,,Defunct
UNK1508,"Antique Portraiture, Inc.",,,,,,,,Corporate Donor,,Active
UNK1509,Ardon V. City of LA Claims Admin,,,,,,,,Corporate Donor,,Defunct
FAM1268,Aubrey Allen 1273,Aubrey,Allen,donor1273@example.com,,555-000-1273,ChildA-1933,,Former Parent,JP,Living
FAM0758,Aubrey Allen 1433,Aubrey,Allen,donor1433@example.com,,555-000-1433,ChildA-2169,,Former Parent,JP,Living
FAM0022,Aubrey Brown 1113,Aubrey,Brown,donor1113@example.com,,,ChildA-1849,,Former Parent,La Casita,Living
IND1304,Aubrey Brown 1153,Aubrey,Brown,donor1153@example.com,,,,N/A,Community,Community,Living
IND0764,Aubrey Carter 73,Aubrey,Carter,donor73@example.com,,555-000-73,ChildA-1073,,Former Parent,La Casita,Living
IND1143,Aubrey Clark 433,Aubrey,Clark,donor433@example.com,,,,N/A,Community,Community,Living
IND0967,Aubrey Collins 913,Aubrey,Collins,donor913@example.com,,555-000-913,,N/A,Former Parent,JP,Living
FAM0415,Aubrey Edwards 1353,Aubrey,Edwards,donor1353@example.com,,555-000-1353,ChildA-1598,,Former Parent,La Casita,Living
FAM0545,Aubrey Edwards 153,Aubrey,Edwards,donor153@example.com,,,ChildA-1153,,Former Parent,La Casita,Living
FAM0313,Aubrey Edwards 953,Aubrey,Edwards,donor953@example.com,,555-000-953,ChildA-1331,,Former Parent,JP,Living
IND0437,Aubrey Hall 1313,Aubrey,Hall,donor1313@example.com,,,ChildA-2313,,Former Parent,La Casita,Living
FAM1004,Aubrey Hall 1473,Aubrey,Hall,donor1473@example.com,,,,N/A,Community,Community,Living
FAM0818,Aubrey Lewis 193,Aubrey,Lewis,donor193@example.com,,555-000-193,ChildA-1193,,Former Parent,La Casita,Living
FAM1008,Aubrey Lopez 233,Aubrey,Lopez,donor233@example.com,donor2332@example.com,555-000-233,,N/A,Community,Community,Living
FAM0522,Aubrey Lopez 673,Aubrey,Lopez,donor673@example.com,,555-000-673,,N/A,Former Parent,JP,Living
FAM0403,Aubrey Martin 33,Aubrey,Martin,donor33@example.com,,555-000-33,,N/A,Former Parent,JP,Living
FAM0988,Aubrey Martin 793,Aubrey,Martin,donor793@example.com,,555-000-793,,N/A,Former Parent,JP,Living
IND1017,Aubrey Mitchell 1193,Aubrey,Mitchell,donor1193@example.com,,555-000-1193,,N/A,Former Parent,JP,Living
FAM0799,Aubrey Murphy 633,Aubrey,Murphy,donor633@example.com,,555-000-633,ChildA-1633,,Former Parent,La Casita,Living
FAM1022,Aubrey Murphy 993,Aubrey,Murphy,donor993@example.com,,555-000-993,ChildA-1709,,Former Parent,La Casita,Living
IND1084,Aubrey Nguyen 1233,Aubrey,Nguyen,donor1233@example.com,,,,N/A,Community,Community,Living
IND0221,Aubrey Nguyen 1393,Aubrey,Nguyen,donor1393@example.com,,555-000-1393,,N/A,Former Parent,La Casita,Living
FAM0004,Aubrey Parker 593,Aubrey,Parker,donor593@example.com,,555-000-593,ChildA-1593,,Former Parent,JP,Living
IND1277,Aubrey Rivera 1073,Aubrey,Rivera,donor1073@example.com,,,,N/A,Community,Community,Living
FAM0284,Aubrey Rivera 473,Aubrey,Rivera,donor473@example.com,,555-000-473,ChildA-1473,,Parent,TD,Living
IND0266,Aubrey Rivera 513,Aubrey,Rivera,donor513@example.com,,555-000-513,ChildA-1513,,Former Parent,La Casita,Living
IND1367,Aubrey Roberts 713,Aubrey,Roberts,donor713@example.com,,,,N/A,Community,Community,Living
FAM0852,Aubrey Rogers 833,Aubrey,Rogers,donor833@example.com,,555-000-833,ChildA-1833,,Former Parent,JP,Living
FAM0973,Aubrey Rogers 873,Aubrey,Rogers,donor873@example.com,,555-000-873,,N/A,Former Parent,JP,Living
IND1479,Aubrey Smith 1479,Aubrey,Smith,,,,,N/A,Community,Community,Living
IND1121,Aubrey Stewart 353,Aubrey,Stewart,donor353@example.com,,,,N/A,Community,Community,Living
IND0850,Aubrey Taylor 393,Aubrey,Taylor,donor393@example.com,,,,N/A,Community,Community,Living
FAM0309,Aubrey Thomas 273,Aubrey,Thomas,donor273@example.com,,555-000-273,,N/A,Former Parent,JP,Living
FAM0361,Aubrey Thomas 552,Aubrey,Thomas,donor553@example.com,,555-000-553,,N/A,Former Parent,JP,Living
FAM0370,Aubrey Walker 753,Aubrey,Walker,donor753@example.com,,555-000-753,ChildA-1753,,Former Parent,JP,Living
IND1422,Aubrey White 1422,Aubrey,White,,,,,N/A,Community,Community,Living
IND1062,Aubrey Wright 113,Aubrey,Wright,donor113@example.com,,,,N/A,Community,Community,Living
FAM0985,Avery Adams 1292,Avery,Adams,donor1292@example.com,,555-000-1292,ChildA-2075,,Former Parent,JP,Living
IND1475,Avery Brown 1475,Avery,Brown,,,,,N/A,Community,Community,Living
FAM0867,Avery Campbell 612,Avery,Campbell,donor612@example.com,,,,N/A,Community,Community,Living
FAM0361,Avery Carter 12,Avery,Carter,donor12@example.com,,555-000-12,,N/A,Former Parent,JP,Living
FAM0844,Avery Carter 772,Avery,Carter,donor772@example.com,,555-000-772,ChildA-1772,,Parent,TD,Living
FAM0193,Avery Collins 372,Avery,Collins,donor372@example.com,,555-000-372,,N/A,Former Parent,JP,Living
IND1079,Avery Cook 172,Avery,Cook,donor172@example.com,,,,N/A,Community,Community,Living
IND0337,Avery Edwards 492,Avery,Edwards,donor492@example.com,,555-000-492,ChildA-1492,,Former Parent,La Casita,Living
FAM0165,Avery Edwards 892,Avery,Edwards,donor892@example.com,,555-000-892,,N/A,Former Parent,JP,Living
IND0653,Avery Evans 1092,Avery,Evans,donor1092@example.com,,555-000-1092,ChildA-2092,,Former Parent,La Casita,Living
IND0511,Avery Hall  1412,Avery,Hall,donor1412@example.com,,555-000-1412,ChildA-2412,,Former Parent,La Casita,Living
FAM0520,Avery Hall 252,Avery,Hall,donor252@example.com,,555-000-252,ChildA-1221,,Former Parent,La Casita,Living
FAM0937,Avery Johnson 1452,Avery,Johnson,donor1452@example.com,,555-000-1452,ChildA-1215,,Board Member,HP,Living
FAM0741,Avery Johnson 212,Avery,Johnson,donor212@example.com,,555-000-212,ChildA-1212,,Former Parent,JP,Living
FAM0378,Avery King 692,Avery,King,donor692@example.com,,555-000-692,ChildA-1146,,Former Parent,La Casita,Living
FAM0206,Avery Lewis 1132,Avery,Lewis,donor1132@example.com,,555-000-1132,ChildA-2132,,Former Parent,JP,Living
FAM0240,Avery Lewis 1172,Avery,Lewis,donor1172@example.com,,555-000-1172,,N/A,Former Parent,JP,Living
FAM0762,Avery Lewis 132,Avery,Lewis,donor132@example.com,,555-000-132,,N/A,Former Parent,JP,Living
FAM0769,Avery Lopez 572,Avery,Lopez,donor572@example.com,,555-000-572,ChildA-1572,,Former Parent,La Casita,Living
IND1468,Avery Martin 1468,Avery,Martin,,,,,N/A,Community,Community,Living
FAM0822,Avery Morris 1252,Avery,Morris,donor1252@example.com,,555-000-1252,,N/A,Former Parent,JP,Living
UNK1057,Avery Nguyen 92,Avery,Nguyen,donor92@example.com,,,,N/A,Community,Community,Living
FAM0725,Avery Perez 532,Avery,Perez,donor532@example.com,,555-000-532,ChildA-1036,,Former Parent,JP,Living
IND1383,Avery Phillips 1372,Avery,Phillips,donor1372@example.com,,,,N/A,Community,Community,Living
IND0629,Avery Roberts 1332,Avery,Roberts,donor1332@example.com,donor13322@example.com,555-000-1332,ChildA-2332,,Former Parent,JP,Living
FAM0621,Avery Roberts 1492,Avery,Roberts,donor1492@example.com,,555-000-1492,ChildA-1085,,Former Parent,La Casita,Living
IND1577,Avery Roberts 1577,Avery,Roberts,,,,,N/A,Community,Community,Living
FAM0709,Avery Roberts 452,Avery,Roberts,donor452@example.com,,555-000-452,ChildA-1452,,Former Parent,La Casita,Living
FAM0112,Avery Rogers 52,Avery,Rogers,donor52@example.com,,555-000-52,,N/A,Former Parent,JP,Living
IND1338,Avery Smith 1212,Avery,Smith,donor1212@example.com,,,,N/A,Community,Community,Living
FAM0930,Avery Smith 932,Avery,Smith,donor932@example.com,,555-000-932,ChildA-1932,,Former Parent,La Casita,Living
FAM1450,Avery Stewart 1450,Avery,Stewart,,,,,N/A,Community,Community,Living
FAM0200,Avery Taylor 852,Avery,Taylor,donor852@example.com,,555-000-852,ChildA-1656,,Parent,TD,Living
IND0652,Avery Thomas 812,Avery,Thomas,donor812@example.com,,555-000-812,ChildA-1812,,Former Parent,La Casita,Living
FAM0392,Avery White 292,Avery,White,donor292@example.com,,555-000-292,ChildA-1292,,Former Parent,La Casita,Living
UNK1447,Avery Wright 1447,Avery,Wright,,,,,N/A,Community,Community,Living
FAM0464,Avery Young 1052,Avery,Young,donor1052@example.com,,,ChildA-2052,,Former Parent,La Casita,Living
IND1134,Avery Young 412,Avery,Young,donor412@example.com,,,,N/A,Community,Community,Living
UNK1576,Benevity,,,,,,,,Corporate Donor,,Active
UNK1510,Big Sunday,,,,,,,,Corporate Donor,,Active
FAM0640,Blake Adams 584,Blake,Adams,donor584@example.com,,,,N/A,Community,Community,Living
UNK1384,Blake Allen 1501,,,donor1501@example.com,,,,N/A,Community,Community,Living
FAM0290,Blake Anderson 544,Blake,Anderson,donor544@example.com,,,,N/A,Community,Community,Living
IND1232,Blake Brown 1224,Blake,Brown,donor1224@example.com,,,ChildA-2224,,Former Parent,HP,Living
IND1375,Blake Brown 264,Blake,Brown,donor264@example.com,,,,N/A,Community,Community,Living
FAM0457,Blake Carter 304,Blake,Carter,donor304@example.com,,555-000-304,ChildA-1304,,Former Parent,La Casita,Living
FAM0625,Blake Clark 1064,Blake,Clark,donor1064@example.com,,555-000-1064,ChildA-1355,,Former Parent,JP,Living
IND1131,Blake Flores 344,Blake,Flores,donor344@example.com,,,,N/A,Community,Community,Living
FAM0280,Blake Flores 64,Blake,Flores,donor64@example.com,,555-000-64,ChildA-1064,,Former Parent,La Casita,Living
FAM0692,Blake Hall 424,Blake,Hall,donor424@example.com,,555-000-424,ChildA-1071,,Former Parent,JP,Dead
IND0630,Blake Hall 624,Blake,Hall,donor624@example.com,,555-000-624,ChildA-1624,,Former Parent,La Casita,Living
IND1189,Blake Harris 664,Blake,Harris,donor664@example.com,,,,N/A,Community,Community,Living
IND1077,Blake Martin 184,Blake,Martin,donor184@example.com,,555-000-184,,N/A,Former Parent,JP,Living
FAM0112,Blake Martin 24,Blake,Martin,donor24@example.com,,,,N/A,Former Parent,JP,Living
FAM0949,Blake Mitchell 104,Blake,Mitchell,donor104@example.com,,555-000-104,,N/A,Former Parent,JP,Living
IND1345,Blake Mitchell 1344,Blake,Mitchell,donor1344@example.com,,,,N/A,Community,Community,Living
IND1122,Blake Nguyen 384,Blake,Nguyen,donor384@example.com,,,,N/A,Community,Community,Living
FAM0824,Blake Perez 1264,Blake,Perez,donor1264@example.com,,555-000-1264,,N/A,Former Parent,JP,Living
IND1500,Blake Perez 1500,Blake,Perez,,,,,N/A,Community,Community,Living
IND1071,Blake Phillips 144,Blake,Phillips,donor144@example.com,,,,N/A,Community,Community,Living
IND0441,Blake Phillips 984,Blake,Phillips,donor984@example.com,,,,N/A,Community,Community,Living
IND0456,Blake Rogers 1144,Blake,Rogers,donor1144@example.com,,,ChildA-2144,,Former Parent,La Casita,Living
FAM0105,Blake Rogers 784,Blake,Rogers,donor784@example.com,,,,N/A,Community,Community,Living
IND1435,Blake Scott 1435,Blake,Scott,,,,,N/A,Community,Community,Living
IND1091,Blake Scott 224,Blake,Scott,donor224@example.com,,,,N/A,Community,Community,Living
IND0395,Blake Scott 704,Blake,Scott,donor704@example.com,,555-000-704,ChildA-1704,,Former Parent,JP,Living
FAM0043,Blake Scott 824,Blake,Scott,donor824@example.com,,555-000-824,,N/A,Former Board Member,Community,Living
FAM0387,Blake Scott 864,Blake,Scott,donor864@example.com,,555-000-864,,N/A,Former Parent,JP,Living
IND0830,Blake Smith 944,Blake,Smith,donor944@example.com,,555-000-944,,N/A,Former Parent,JP,Living
FAM0223,Blake Stewart 1424,Blake,Stewart,donor1424@example.com,,,,N/A,Community,Community,Living
UNK1150,Blake Stewart 464,Blake,Stewart,donor464@example.com,,,,N/A,Community,Community,Living
FAM0299,Blake Thomas 744,Blake,Thomas,donor744@example.com,,555-000-744,ChildA-1744,,Former Parent,JP,Living
IND1316,Blake Thompson 1184,Blake,Thompson,donor1184@example.com,,,,N/A,Community,Community,Living
IND1477,Blake Torres 1477,Blake,Torres,,,,,N/A,Community,Community,Living
IND0236,Blake White 1464,Blake,White,donor1464@example.com,,555-000-1464,ChildA-2464,,Former Parent,La Casita,Living
IND0372,Blake White 904,Blake,White,donor904@example.com,,,,N/A,Community,Community,Living
FAM0762,Blake Young 1104,Blake,Young,donor1104@example.com,,555-000-1104,,N/A,Former Parent,JP,Living
IND1341,Blake Young 1304,Blake,Young,donor1304@example.com,,,,N/A,Community,Community,Living
UNK1511,"Books Are Fun, Ltd.",,,,,,,,Corporate Donor,,Active
FAM0577,Brooklyn Adams 1274,Brooklyn,Adams,donor1274@example.com,,555-000-1274,ChildA-2053,N/A,Former Parent,JP,Living
FAM0746,Brooklyn Allen 714,Brooklyn,Allen,donor714@example.com,,555-000-714,,N/A,Former Parent,JP,Living
IND0849,Brooklyn Anderson 1354,Brooklyn,Anderson,donor1354@example.com,,555-000-1354,ChildA-2354,,Former Parent,JP,Living
IND1132,Brooklyn Brown 34,Brooklyn,Brown,donor34@example.com,,,,N/A,Community,Community,Living
IND1358,Brooklyn Carter 1394,Brooklyn,Carter,donor1394@example.com,,,,N/A,Community,Community,Living
IND1262,Brooklyn Carter 994,Brooklyn,Carter,donor994@example.com,,,,N/A,Community,Community,Living
FAM1013,Brooklyn Clark 354,Brooklyn,Clark,donor354@example.com,,555-000-354,,N/A,Former Parent,JP,Living
FAM0376,Brooklyn Cook 1074,Brooklyn,Cook,donor1074@example.com,,555-000-1074,ChildA-1550,,Former Parent,JP,Living
IND1444,Brooklyn Edwards 1444,Brooklyn,Edwards,,,,,N/A,Community,Community,Living
FAM0787,Brooklyn Evans 474,Brooklyn,Evans,donor474@example.com,,555-000-474,,N/A,Former Parent,JP,Living
FAM0795,Brooklyn Hall 1234,Brooklyn,Hall,donor1234@example.com,,555-000-1234,,N/A,Former Parent,JP,Living
IND1139,Brooklyn Hall 314,Brooklyn,Hall,donor314@example.com,,,,N/A,Community,Community,Living
IND1457,Brooklyn Harris 1457,Brooklyn,Harris,,,,,N/A,Community,Community,Living
FAM0485,Brooklyn King 1434,Brooklyn,King,donor1434@example.com,,555-000-1434,,N/A,Former Parent,JP,Living
IND1343,Brooklyn Lopez 1314,Brooklyn,Lopez,donor1314@example.com,,,,N/A,Community,Community,Living
IND1055,Brooklyn Lopez 74,Brooklyn,Lopez,donor74@example.com,,,,N/A,Community,Community,Living
IND0011,Brooklyn Lopez 794,Brooklyn,Lopez,donor794@example.com,,555-000-794,ChildA-1794,,Former Parent,La Casita,Living
FAM0417,Brooklyn Martin 274,Brooklyn,Martin,donor274@example.com,,555-000-274,,N/A,Former Parent,JP,Living
FAM0806,Brooklyn Martin 554,Brooklyn,Martin,donor554@example.com,,555-000-554,ChildA-1554,,Former Parent,La Casita,Living
IND1424,Brooklyn Nguyen 1424,Brooklyn,Nguyen,,,,,N/A,Community,Community,Living
IND1301,Brooklyn Perez 1474,Brooklyn,Perez,donor1474@example.com,,,,N/A,Community,Community,Living
FAM0616,Brooklyn Perez 154,Brooklyn,Perez,donor154@example.com,,555-000-154,ChildA-1154,,Former Parent,La Casita,Living
FAM0256,Brooklyn Perez 754,Brooklyn,Perez,donor754@example.com,,555-000-754,ChildA-1754,,Former Parent,La Casita,Living
FAM0161,Brooklyn Phillips 1154,Brooklyn,Phillips,donor1154@example.com,,,,N/A,Community,Community,Living
FAM0328,Brooklyn Phillips 514,Brooklyn,Phillips,donor514@example.com,,555-000-514,,N/A,Former Parent,JP,Living
FAM0721,Brooklyn Rivera 1034,Brooklyn,Rivera,donor1034@example.com,,555-000-1034,ChildA-1440,,Former Parent,La Casita,Living
FAM0067,Brooklyn Rivera 594,Brooklyn,Rivera,donor594@example.com,,555-000-594,ChildA-1334,,Former Parent,JP,Living
IND1386,Brooklyn Smith 114,Brooklyn,Smith,donor114@example.com,,,,N/A,Community,Community,Living
IND1481,Brooklyn Taylor 1481,Brooklyn,Taylor,,,,,N/A,Community,Community,Living
FAM0988,Brooklyn Taylor 674,Brooklyn,Taylor,donor674@example.com,,555-000-674,,N/A,Former Parent,JP,Living
FAM1409,Brooklyn Thomas 1409,Brooklyn,Thomas,,,,,N/A,Community,Community,Living
IND1144,Brooklyn Thomas 434,Brooklyn,Thomas,donor434@example.com,,,,N/A,Community,Community,Living
IND1318,Brooklyn Thompson 1194,Brooklyn,Thompson,donor1194@example.com,,,,N/A,Community,Community,Living
IND1254,Brooklyn Thompson 954,Brooklyn,Thompson,donor954@example.com,,,,N/A,Community,Community,Living
IND1363,Brooklyn Torres 914,Brooklyn,Torres,donor914@example.com,,,,N/A,Community,Community,Living
FAM0867,Brooklyn White 234,Brooklyn,White,donor234@example.com,,,,N/A,Community,Community,Living
FAM0435,Brooklyn Wright 194,Brooklyn,Wright,donor194@example.com,,555-000-194,ChildA-1194,Yes,Parent,HP,Living
UNK1512,Bubblemania and Company LA,,,,,,,,Corporate Donor,,Active
FAM0055,Cameron Allen 1331,Cameron,Allen,donor1331@example.com,,555-000-1331,ChildA-2331,,Former Parent,JP,Living
